Fichier;Ligne;Fonction;Appels (ncalls);Appels primaires (nprimcalls);Temps total (s);Temps cumulé (s)
/mnt/c/users/lesag/desktop/projets/projet8/app/monitoring/profile_model.py;20;run_prediction;1;1;9,54E-05;0.10156266600000001
/mnt/c/users/lesag/desktop/projets/projet8/app/services/prediction.py;58;predict;1;1;0,000296812;0.101460008
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/sqlalchemy/engine/base.py;1375;execute;3;3;1,02E-05;0.030661430000000003
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/sqlalchemy/sql/elements.py;518;_execute_on_connection;3;3;6,76E-06;0.030651273000000003
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/sqlalchemy/engine/base.py;1591;_execute_clauseelement;3;3;3,41E-05;0.030644512000000002
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/sklearn/pipeline.py;697;predict;1;1;8,20E-06;0.029946678
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/xgboost/core.py;732;inner_f;1;3;4,94E-05;0.029788098000000002
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/xgboost/sklearn.py;1831;predict;1;1;3,26E-05;0.029779655000000002
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/xgboost/sklearn.py;1401;predict;1;1;8,83E-06;0.029497587000000002
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/xgboost/core.py;2728;inplace_predict;1;1;0,013537391;0.029346701000000003
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/sqlalchemy/sql/elements.py;680;_compile_w_cache;3;3;3,22E-05;0.025534499000000002
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/sqlalchemy/orm/state_changes.py;93;_go;3;27;6,18E-05;0.024811582000000002
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/sqlalchemy/orm/session.py;1994;commit;2;2;2,85E-06;0.024730999
<string>;1;commit;2;4;6,36E-06;0.024728146000000003
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/sqlalchemy/orm/session.py;1304;commit;2;4;5,34E-05;0.024715797
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/sqlalchemy/sql/elements.py;318;_compiler;3;3;1,56E-05;0.024480644000000003
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/sqlalchemy/sql/compiler.py;1359;__init__;3;3;2,89E-05;0.024465021
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/sqlalchemy/sql/compiler.py;845;__init__;3;3;2,10E-05;0.02443514
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/sqlalchemy/sql/compiler.py;933;process;3;3;4,43E-06;0.024412151
/mnt/c/users/lesag/desktop/projets/projet8/.venv/lib/python3.12/site-packages/sqlalchemy/sql/visitors.py;126;_compiler_dispatch;3;653;0,00065215;0.02440772
